subject,predicate,object
张世芳,著作,永夏矿区深厚冲积层特殊凿井技术
永夏矿区深厚冲积层特殊凿井技术,出版社,煤炭工业出版社
永夏矿区深厚冲积层特殊凿井技术,出版年,2003
中国计划出版社,发布机构,煤矿井巷工程质量验收规范
煤矿井巷工程质量验收规范,发布年份,2010年
中国矿业大学出版社,出版图书,复杂条件下的冻结井筒施工成套技术
煤炭工业出版社,出版图书,冻结法凿井施工技术应用与管理
人民交通出版社,出版图书,人工冻结法的理论与施工技术
煤炭工业出版社,出版图书,冻结法凿井施工手册
煤炭工业出版社,出版图书,煤矿冻结法开凿立井工程技术规范
中国计划出版社,出版图书,煤矿冻结法开凿立井工程技术规范
GB 18218—2018,标准名称,危险化学品重大危险源辨识
GB 18218—2018,标准类型,国家标准
岩土工程勘察技术规范,发布年份,2005年
盛天宝,著作,赵固矿区500m以上冲积层冻结法凿井技术
陈文豹,著作,赵固矿区500m以上冲积层冻结法凿井技术
赵固矿区500m以上冲积层冻结法凿井技术,出版社,煤炭工业出版社
赵固矿区500m以上冲积层冻结法凿井技术,出版年,2011
JGJ 118—2011,发布单位,北京中国建筑工业出版社
JGJ 118—2011,发布年份,2011年
JGJ 118—2011,属于体系,建筑工业出版社标准体系
JGJ 118—2011,涵盖内容,冻土地区建筑地基基础设计的技术要求与实施规范
设备及管道绝热技术通则,标准号,GB/T4272—2008
设备及管道绝热技术通则,发布单位,中国标准出版社
设备及管道绝热技术通则,发布年份,2009年
《王文顺. 深厚表土层中冻结壁稳定性研究》,出版单位,中国矿业大学出版社
《王文顺. 深厚表土层中冻结壁稳定性研究》,出版地,徐州
《王文顺. 深厚表土层中冻结壁稳定性研究》,研究主题,深厚表土层冻结壁稳定性
《王文顺. 深厚表土层中冻结壁稳定性研究》,研究内容,冻结壁力学特性
《王文顺. 深厚表土层中冻结壁稳定性研究》,研究内容,稳定性控制技术
《王文顺. 深厚表土层中冻结壁稳定性研究》,文献地位,核心参考文献
煤矿冻结法开凿立井工程技术规范,发布年份,2011年
煤矿冻结法开凿立井工程技术规范,标准编号,MT/T 1124—2011
煤矿冻结法开凿立井工程技术规范,出版单位,煤炭工业出版社
煤矿立井开凿,应用领域,冻结法凿井施工技术
深厚冲积层凿井,应用领域,冻结法凿井施工技术
冻土地区建筑工程,应用领域,冻结法凿井施工技术
城市地下工程,应用领域,冻结法凿井施工技术
特殊地质条件下的井筒施工,应用领域,冻结法凿井施工技术
液氮冻结技术应用,应用领域,冻结法凿井施工技术
冻结壁与井壁联合支护,应用领域,冻结法凿井施工技术
特殊凿井工程,应用领域,冻结法凿井施工技术
赵固矿区,采用技术,冻结法凿井施工技术
程村主副井,采用技术,冻结法凿井施工技术
《煤矿冻结法开凿立井工程技术规范》,规定场景,煤矿立井开凿
《冻土地区建筑地基基础设计规范》,所述场景,冻土地区建筑工程
《城市地下工程人工冻结法理论与实践》,提及技术,城市地下工程
《复杂条件下的冻结井筒施工成套技术》,所述场景,特殊地质条件下的井筒施工
《深厚表土中的冻结壁与井壁》,提及技术,冻结壁与井壁联合支护
《特殊凿井》,提及应用,特殊凿井工程
《井巷特殊施工》,提及应用,特殊凿井工程
中煤邯郸设计院有限公司,简称,中煤邯郸设计公司
中煤天津（邯郸）设计院有限公司,简称,中煤天津设计公司
北京中煤矿山工程有限公司,简称,北京中煤
中煤邯郸特殊凿井有限公司,简称,中煤邯郸特凿公司
中煤隧道工程有限公司,简称,中煤隧道公司
中煤第五建设有限公司第三工程处,简称,中煤五建3处
约翰芬雷华能设计工程有限公司,简称,约翰芬雷华能设计公司
煤炭工业济南设计研究院有限公司,简称,济南设计公司
杭州市城建设计研究院有限公司,简称,杭州城建设计公司
武汉市政工程设计研究院,简称,武汉市政设计院
江苏省第一工业设计院有限责任公司,简称,江苏第一工业设计院
华东勘测设计研究院有限公司,简称,华东勘测设计公司
通用技术集团工程设计有限公司,简称,通用技术设计公司
唐山开滦集团设计院,简称,开滦集团设计院
