entity_name,text_emb
底板埋深,"0.04849869,0.08859725,0.00545350,0.03526540,0.06176871,-0.17144397,-0.03109342,-0.05320688,0.10550697,-0.09416638,-0.05434013,-0.02126062,-0.11908500,0.00706398,-0.02055032,0.02471627,-0.03341007,0.00384671,-0.03474922,-0.02783270,-0.00767083,0.07540473,-0.01866563,0.05163537,-0.03876140,-0.04087056,-0.10679229,-0.02831023,-0.11547304,0.16120346,-0.00508860,-0.09686217,-0.00570522,0.08920863,-0.09068949,-0.02728285,0.00624888,-0.10574882,-0.02426763,0.01134520,-0.02376591,0.05858921,-0.10925692,0.01546211,-0.08359307,0.03105935,0.14845531,0.10547336,0.02093693,0.16576408,0.04679183,0.60232997,0.02567502,-0.09885321,0.01294128,0.00520925,0.03471458,-0.03345291,0.04989506,0.07146394,-0.04722657,0.03836885,-0.02628155,0.04174829,-0.09512731,-0.00489309,-0.01332524,0.05594503,-0.02832258,-0.06656727,0.09696873,0.09168217,0.03296475,-0.10680512,0.01182753,-0.15496361,0.10627507,0.03791096,-0.08682684,0.04211238,0.01877097,-0.03971464,0.14934357,-0.02762110,-0.14828219,-0.01848812,0.00143146,-0.07910661,-0.09569225,-0.08139484,-0.04881436,-0.03250944,-0.01441345,-0.01256580,-0.02088318,0.05652641,0.08902169,-0.17141445,-0.02770685,0.02211709,-0.02988251,-0.10834298,-0.11442419,-0.05570921,-0.00548348,0.03659347,-0.00977533,-0.06621404,-0.03683783,-0.03076313,-0.01578247,0.03909651,-0.04977424,0.08839969,-0.10761602,-0.01154663,0.05095394,-0.02328038,0.02302268,-0.00586590,0.14327551,-0.05246592,0.16345520,-0.01123006,0.00122779,0.05881956,-0.05954317,-0.00335261"
《城市地下工程人工冻结法理论与实践》,"0.00229544,-0.04250149,0.06722526,0.06581192,0.05889638,-0.03184208,-0.01477113,0.07692321,-0.09245406,-0.02797843,-0.04385014,0.12324775,0.06326332,0.02056751,-0.03999968,0.05623260,-0.05913758,0.07825559,-0.01991733,0.00894205,-0.04266320,0.00627331,-0.12418276,0.10332008,-0.09390505,-0.03925821,-0.01594158,-0.05363185,0.02029965,0.08023243,0.06269623,0.05390566,-0.22279024,0.00311843,-0.14216635,0.03599470,-0.00038205,-0.08976872,0.08885907,-0.02263677,0.00416014,0.05877518,-0.17420824,-0.11236968,-0.00338085,0.04122297,-0.01995862,-0.02486358,-0.11760991,0.14203319,-0.06066835,0.63982099,0.06563059,0.01582331,-0.04490621,0.03265779,-0.03672460,0.07209744,0.01079479,0.06962170,0.06154304,0.04410220,0.09971955,-0.05863784,-0.00255365,0.06661855,-0.06793768,0.02515659,-0.11352409,0.03218246,0.10786721,0.06391452,-0.01539901,0.00315899,-0.01370877,0.04447859,0.09411390,0.10963689,-0.01935384,-0.01633272,-0.02808623,-0.07653741,0.09021755,-0.06075335,-0.01855692,-0.07765687,-0.03777814,-0.04404612,0.04100109,0.03521753,-0.13386483,-0.07388622,-0.14253789,-0.07369615,0.03821788,0.02220690,0.11279638,-0.10014675,-0.01158210,0.08520935,0.06255126,-0.08951999,0.01975820,0.04826947,0.01377639,0.06190510,-0.02303667,-0.03812722,0.03602010,-0.04838832,-0.02181630,-0.01042531,0.10058033,0.06211208,0.01938746,-0.06167514,0.09839823,0.01442867,-0.04999428,-0.03289544,-0.06626485,-0.01131890,-0.01005592,0.01721945,0.03248645,-0.12962735,0.02475501,0.01462514"
上海轨道交通15号线铜川路站~上海西站站联络通道及泵站工程,"0.03709903,0.03098677,0.02623965,-0.04108030,0.06648874,-0.10075311,0.03118449,0.05067680,0.02223604,0.10708376,-0.01768321,0.09467732,-0.02241535,0.01340245,0.04998936,0.07456560,0.09357695,0.11896179,-0.06140359,-0.06089660,-0.04040735,0.02272700,-0.12448526,0.05098882,-0.08439002,0.05228811,-0.08179355,0.00250002,0.02276196,0.09124240,0.04162949,-0.09590066,-0.07636228,0.02716690,0.03784508,0.01471068,0.02695318,0.00468296,0.00186054,0.02699674,-0.08736593,0.05021578,-0.14701404,0.05757196,-0.05303869,-0.01759983,0.06786712,0.03591351,-0.04806168,0.05345994,0.02363528,0.69078708,0.04424072,0.07354243,-0.02932769,0.21922596,0.03417814,-0.06166574,0.00942003,0.10549910,-0.03094642,-0.10568334,0.02179563,-0.08740791,0.03635017,0.00321739,-0.02379182,-0.06503571,-0.04808145,-0.03305940,0.03788601,-0.02113405,-0.01641404,-0.02744149,0.00195019,-0.08450680,0.08339410,0.04789736,0.06890763,-0.04410394,0.00530245,-0.01659131,0.13954122,-0.02629349,0.03866917,-0.05780059,-0.00040213,-0.02796590,-0.14143464,-0.05658023,-0.09669995,0.05015022,-0.04887576,-0.00197033,-0.04737518,-0.00206725,0.06692797,-0.08386418,-0.02446106,-0.00188225,0.01786901,-0.00700139,-0.13598114,-0.08698764,0.11874244,0.08918057,0.01328153,-0.04801413,0.00558437,-0.01266840,-0.03111699,0.09192142,0.09477773,0.01947609,-0.02988335,0.08133208,-0.02137591,0.05173553,0.09834121,-0.03136100,0.14155866,-0.03118486,-0.02659682,0.01604619,-0.02549889,-0.00253801,-0.00836609,0.05865852"
2018年7月至2018年8月,"-0.07297481,0.03096703,0.11746913,-0.00915123,0.05053669,-0.14420351,-0.04951314,0.25933513,0.04395388,-0.11979114,-0.00573162,0.03995825,-0.00941747,-0.10050836,0.13461187,0.09724654,0.06144938,-0.02625439,-0.05020036,-0.09828094,0.01233452,0.03383390,-0.18086882,0.09681052,0.11409217,-0.05128785,0.08195519,0.02907638,0.04641268,0.07506111,0.15619729,-0.04271020,-0.20041770,-0.02657063,-0.13167055,0.04623058,0.15647550,-0.06169331,-0.01776148,0.11820461,0.15356167,0.08299300,0.03660682,-0.05570541,-0.16542825,0.11973530,0.09678750,0.03758426,-0.06318438,-0.00935628,-0.08657424,0.24462153,-0.13203990,0.13051410,-0.07005392,-0.03038789,-0.02855092,0.04070467,-0.04685219,0.00221694,0.01362480,-0.09816080,0.01769434,0.03112745,-0.03928652,-0.03796848,-0.10953820,-0.08040476,0.13494214,-0.06305803,-0.02519749,0.19759351,0.05886872,-0.03126721,0.17563944,-0.03484730,0.09911761,0.02322331,0.02799061,-0.11293509,0.05740215,0.05858951,0.00702091,0.05946226,-0.11184356,0.00788015,-0.01339713,-0.01581709,0.17533708,-0.12336645,-0.07166116,0.02845919,-0.16533333,0.04323658,-0.00019416,0.05842742,0.02806967,0.08680040,0.02148676,-0.01190759,-0.02608234,-0.01156902,-0.03586784,-0.06345934,-0.02696236,-0.09518595,0.08917654,0.07954175,0.09117632,0.15407154,0.02118717,0.04529516,0.16153364,0.08002522,-0.03783454,-0.02837581,0.09869467,-0.03242602,-0.03878633,0.04233988,-0.03052561,0.05386768,0.03087321,-0.02683156,-0.00323304,-0.02010913,0.12171089,-0.03537413"
27米,"-0.06399877,0.04774471,0.09145727,0.21592705,0.12067678,-0.03157096,0.02324439,0.05080242,0.00061994,-0.02844251,-0.01101164,0.02285738,-0.04477816,0.03997846,-0.10925378,-0.12280544,0.00048933,0.01516166,-0.13255629,0.07492275,0.01613303,-0.06819534,-0.09610471,0.05091958,0.01854360,0.06613565,-0.06645638,-0.04895459,-0.12469261,-0.04751519,-0.06301959,0.01103510,0.08075573,0.01714689,-0.12027010,0.06775200,0.13293220,0.03716764,-0.01300951,-0.03040497,0.04629704,0.11443768,-0.17885579,-0.01177671,-0.14620863,0.03206971,0.07254764,0.08770080,-0.09611046,0.02748552,-0.02590010,0.50813466,-0.07294933,-0.01433931,0.02421130,-0.01058861,0.07018660,0.02357999,-0.18986124,0.03632614,-0.04838318,-0.03826576,0.05131051,-0.01050747,-0.08509801,-0.03461955,-0.03000239,-0.00442050,0.06991577,-0.03125540,-0.01337554,0.07473820,0.13896629,-0.16065839,-0.02356648,0.12676921,0.06211073,0.13323298,0.02485571,-0.13907351,-0.00547276,0.00666079,-0.01290234,-0.10002936,-0.02897205,-0.01223558,0.02866847,-0.03141533,-0.01522892,-0.07374993,0.08401416,-0.09046488,-0.04818693,-0.02378761,0.08194717,0.03214154,0.00536413,0.13013233,-0.18304220,0.04164969,-0.02291345,-0.06769180,-0.00906941,-0.11828233,-0.08712327,-0.06563516,-0.02802735,0.05064990,0.01890431,0.10000956,-0.03267263,-0.02376102,0.04266736,0.10859682,0.01130028,0.02734731,-0.05710116,0.10073797,-0.16323088,-0.01306345,0.09023704,-0.04550339,0.06030315,-0.00445698,-0.05950001,0.05846500,0.11067455,0.07583804"
佛山轨道交通2号线TJ1标湖~绿区间联络通道,"-0.05417948,0.00535316,0.01927876,-0.01491299,0.09403697,-0.04547761,0.05931645,0.00498901,-0.01686022,0.02703769,0.04232238,0.07656985,0.02783915,-0.04121802,0.00648946,-0.01235414,0.03035595,0.03787202,-0.04693897,-0.02665241,-0.03877640,0.01029660,-0.15133728,0.05024992,-0.02866464,-0.06729928,-0.03455643,-0.02484565,0.02617414,0.04187244,-0.03869896,-0.01469427,-0.11340845,0.17485067,-0.02234656,0.03202725,-0.01290006,-0.09880593,0.07832193,0.03183284,-0.11000883,0.01236798,-0.12257563,0.03011954,-0.10376851,0.15978280,0.01749114,-0.01037217,-0.08836611,0.07239198,0.01404228,0.71225530,-0.09074507,0.04843679,-0.09553604,-0.02332724,0.02671832,-0.05643896,0.07184464,0.17992073,0.02906474,-0.08194914,0.09306747,-0.06366559,-0.00438600,-0.11652447,0.00520534,0.00240796,-0.02765238,-0.00400467,0.10441978,-0.00835392,-0.09521201,0.06570450,0.03383397,-0.07233068,-0.00111530,-0.03094435,0.00944447,0.05007976,-0.04588694,-0.11569078,0.01407980,-0.06918562,-0.02147498,-0.05114833,0.01972702,-0.09418076,-0.00097057,-0.05376641,0.00425349,-0.00607543,0.00320969,-0.00334937,-0.00478824,0.03011253,0.09323692,-0.03772207,0.02410156,0.06506360,-0.00635958,-0.04392404,-0.14638714,0.01192013,0.04101856,0.01964100,0.03737273,0.02038280,-0.03954469,0.11666253,-0.02297261,-0.03702569,0.12321264,-0.00318863,-0.01694605,0.02959152,-0.10872745,0.07782023,0.08553912,0.02205412,0.07781643,0.02441569,-0.02969565,-0.01825989,-0.01890290,-0.00595178,0.04787659,-0.01263829"
2019年1月至2019年4月,"-0.07722113,0.01339074,0.08133410,0.08805564,-0.02919142,-0.12137908,0.05617703,0.13558570,0.04343375,-0.06412383,-0.00961059,-0.04811785,0.02440826,-0.10035145,-0.04456067,0.08694011,0.00143216,0.11405961,-0.02725541,-0.11603799,-0.05781364,0.06375200,-0.18751730,0.03451902,0.03473287,-0.00976741,0.04733945,-0.06026689,0.10284387,0.05732618,0.05519618,-0.11498170,-0.10208091,0.07778910,-0.03342641,0.10799075,0.06810941,0.00789233,0.01019629,0.08197252,0.08014009,0.16582204,0.13626266,-0.00382793,-0.08523065,0.07743261,-0.05026563,-0.00238004,-0.08238194,0.04411853,0.00535999,0.33854616,-0.00905205,0.02173394,-0.04919211,0.08863304,0.06590211,0.11617526,-0.01633702,0.19070712,0.02434951,-0.04387271,-0.01184325,0.03877901,0.08193164,-0.02152614,-0.02542669,-0.15748131,0.04118760,-0.09088188,0.04933177,0.16597180,0.14281629,-0.05073101,0.03274342,-0.11884654,0.01846201,-0.04710439,0.09025118,-0.18097268,-0.04416496,-0.03999650,-0.08427923,-0.03466702,-0.12495080,0.04159844,-0.02837640,-0.13320394,0.05793623,0.02789767,-0.10537063,-0.01464591,-0.07659733,-0.02255243,-0.05978936,0.07834519,0.05938506,-0.03109577,0.05648098,0.10607962,-0.13595706,-0.00607544,-0.00094018,-0.16171117,0.05998449,0.02247975,0.17084128,0.13687071,0.06187087,0.06066502,-0.03505912,0.00683726,0.16208866,0.08976309,0.01952591,0.07994375,0.08966221,0.00696779,0.09513970,-0.02350809,-0.03229048,0.06447789,0.01022250,-0.06913587,-0.05842175,-0.23285110,0.11955386,0.06969877"
2016年7月至2016年12月,"-0.12665389,0.05715102,0.07020964,0.12706682,0.04604599,-0.23555456,-0.06597611,0.07318906,0.12206158,-0.11097714,0.00397088,0.11300980,-0.03820606,-0.08388098,0.13986158,-0.02415198,0.09957605,0.06731671,-0.10748684,-0.14649613,0.03078589,0.02084761,-0.07230940,0.04710794,0.09252398,-0.00330331,0.01853746,-0.04832357,0.00864820,0.07297327,0.17311679,-0.02695153,-0.08317874,-0.07776577,-0.04681230,-0.03188584,0.08467603,0.04224674,-0.00202206,0.10537496,0.10043999,0.13615155,0.01506548,-0.03533441,-0.22112046,0.11463541,-0.00509958,0.04249529,-0.02098030,0.09941602,-0.13137007,0.25669307,-0.01055036,0.00681664,-0.05889554,-0.07972580,-0.02890318,0.06298248,-0.01050799,0.03396434,-0.00028417,-0.07425804,0.03976983,-0.11548316,-0.03056864,-0.02571453,-0.07441303,-0.05139505,0.07323945,-0.03007068,-0.09993494,0.10180452,0.00894522,-0.03379925,0.21934108,0.03638667,-0.00296655,0.04637209,0.02815934,-0.15856954,-0.03007775,0.00840045,0.02166084,0.05832154,-0.08978118,-0.06722779,-0.05020583,-0.07907402,0.01846601,-0.08276416,-0.03004415,-0.06014092,-0.15304950,-0.09182896,0.01055437,0.00345260,0.14086141,0.14571632,-0.10392857,-0.03780394,0.01611817,-0.10831416,-0.09866580,-0.04168478,0.02638087,-0.06465060,0.15289479,0.09553950,0.02468259,0.00637369,0.00757618,-0.02497235,0.17844041,0.03161588,0.11426809,-0.05297073,0.20532078,0.01229520,-0.07277417,0.09204191,0.08502971,0.08037298,0.12500341,-0.12248467,-0.02846321,0.04315919,0.06482251,0.05806537"
杭州地铁5号线一期工程SG5-8标段巨州路~上塘路~沈半路站区间联络通道,"0.04762974,0.08790720,0.02432662,-0.08128484,0.10704511,-0.06532531,0.05183671,0.01381130,-0.07576422,-0.00954163,0.00488987,0.08165459,-0.08445805,-0.00275412,0.05170735,0.03576326,-0.03648659,0.08175604,0.00953925,-0.08351386,-0.03261906,0.09242389,-0.16149995,0.01980490,-0.06105459,-0.00027442,-0.05339232,-0.00172466,-0.06467360,0.03663984,0.02761227,-0.02739312,-0.05888372,0.04753310,0.00047419,0.02449045,0.02015597,-0.02046977,0.06385154,0.01709215,-0.02443358,-0.04508219,-0.12883978,-0.03959849,-0.02635659,0.07974993,-0.05988557,0.03866908,-0.04995443,0.06571982,0.00200255,0.71761352,0.03050731,-0.01843366,-0.06529947,0.03495215,0.13020200,0.00254793,0.01379641,0.10279564,0.05813298,-0.05899902,0.02397055,-0.10659551,0.05437198,-0.17328887,-0.02268470,-0.03391532,0.02682273,-0.00680582,0.07061530,-0.00062245,-0.10937016,0.09432446,0.07546716,-0.02339642,0.09299339,0.07352002,0.02140028,-0.05185761,-0.01674601,-0.12163761,0.06545103,-0.02220822,0.04695437,-0.01844011,-0.00208511,-0.04675221,-0.00072970,-0.10820226,-0.07418021,0.05030796,0.00250363,0.03242803,0.05474831,-0.00125640,0.11338378,0.01879374,-0.04416138,0.07645814,0.00085690,-0.02639370,-0.12008703,0.02373222,0.02590429,0.08010507,-0.00737436,-0.05035229,0.01170028,0.10159361,0.04134987,0.07518965,0.12103046,0.04315871,-0.05741155,0.02967484,-0.03342353,0.03680230,0.06230635,0.08373253,0.05258401,0.08633279,0.00134116,-0.01808791,0.00760806,-0.07260535,0.07735374,0.05569300"
GB 18218—2018,"0.00708138,0.03510658,0.01510011,0.12818912,0.13528404,-0.03964510,0.10075810,0.00359931,0.00058597,-0.05335716,0.05725027,0.00338028,0.04669189,-0.03083342,0.12201931,0.00653009,0.06463862,-0.02949257,-0.04092445,0.04966773,-0.08291831,-0.08759235,0.00056690,0.00511516,0.00781095,-0.08632808,-0.02846134,0.00690426,0.09799059,0.08705458,-0.04782598,-0.00804535,-0.26679695,0.09673476,-0.01421879,0.04588003,-0.02848561,-0.10621598,0.17456274,-0.00870736,0.11221129,0.04707687,-0.26643044,-0.07074868,-0.11057592,-0.03489285,0.03449902,0.06494905,-0.16871245,-0.00773462,-0.14212802,0.40683588,-0.12754145,0.07703592,0.01365488,0.11108771,-0.19843654,0.01898219,-0.17791247,0.18851081,0.00014912,0.00367728,0.04956704,-0.06899066,-0.03928386,-0.01130378,-0.08777697,-0.15190475,-0.01044358,-0.09214409,0.02270013,0.07991600,-0.09607469,0.00028795,0.01934787,-0.07538924,-0.03281054,0.05538901,0.02276764,-0.03735191,-0.04012288,0.00805055,0.01645349,-0.09515781,-0.09459738,-0.01629606,-0.01697788,-0.03072665,0.15283544,-0.01206954,0.05064845,-0.02931923,-0.05348297,0.03642683,0.08682479,0.11020979,0.06060475,-0.10162713,-0.05132785,0.15691228,-0.01273046,0.02173249,-0.03859085,-0.06146698,0.03240789,-0.06046729,-0.05389088,-0.03809637,-0.04268537,0.08172626,-0.01572222,-0.04921602,0.03646787,-0.02235560,-0.03673040,0.03380760,0.06368084,-0.10842358,-0.00456475,-0.10847166,-0.00351968,0.07969894,0.04698106,-0.09872457,0.02513729,-0.04844971,-0.11172210,-0.05702711"
